id,property_incident_id,related_incident_id,link_type,note,created_at,updated_at
158,18039,18037,supports,"The Stolers' $1,500 take-back completes the financing: ~$4,500 carried, no bank involved.",2026-07-15 03:03:23 -0400,2026-07-15 03:03:23 -0400
159,18040,18035,related,"The $90 rent created May 24, 1898 is 'forever merged and extinguished' — 44 years later, by the tenants' purchase.",2026-07-15 03:03:23 -0400,2026-07-15 03:03:23 -0400
160,18040,18036,supports,Monumental (ex-Mutual) sells the reversion it bought in 1898 to the leaseholders — the recital carries the whole pedigree.,2026-07-15 03:03:23 -0400,2026-07-15 03:03:23 -0400
161,18041,18040,supports,"The $1,500 share-loan purchase money for the ground-rent buyout, recorded the same day.",2026-07-15 03:03:24 -0400,2026-07-15 03:03:24 -0400
162,17958,17929,supports,"The deed recital dates Joseph's death 'on or about May 31, 1971' — a Monday; the Sun obit said he 'died unexpectedly Monday.'",2026-07-15 03:03:24 -0400,2026-07-15 03:03:24 -0400
163,17956,17953,supports,The 1985 deed's true source instrument — its recital miscites the liber (3072 for 3074); date and parties confirmed from the image.,2026-07-15 03:03:24 -0400,2026-07-15 03:03:24 -0400
164,17958,17957,supports,The 1985 deed's true source instrument — recital miscites the liber (3072 for 3074).,2026-07-15 03:03:24 -0400,2026-07-15 03:03:24 -0400
165,18037,18013,related,"Same surname, same avenue: Max & Sophie Stoler leave 2703 in 1921; Lena Stoler declares for citizenship from 3208 in 1926. Kinship unproven.",2026-07-15 03:03:24 -0400,2026-07-15 03:03:24 -0400
166,18037,11893,related,"The Sicilian block cluster: Varsalona the shoemaker at 2703 (1921), Bongiorno the grocer at 2711 — two arrival stories, five doors apart.",2026-07-15 03:03:25 -0400,2026-07-15 03:03:25 -0400
167,18042,5118,supports,"The 1972 estate deed's recital confirmed: Phoebus -> Vinson, May 15, 1961, JFC 1070/378, read in full.",2026-07-15 03:19:54 -0400,2026-07-15 03:19:54 -0400
168,18042,18006,supports,Edgar signed the deed by mark in May and was dead by October — the by-mark signature and the 'suddenly' of the obituary bracket his last summer.,2026-07-15 03:19:54 -0400,2026-07-15 03:19:54 -0400
169,18043,18042,supports,The purchase-money financing recorded in the same run as the deed.,2026-07-15 03:19:54 -0400,2026-07-15 03:19:54 -0400
170,18044,18042,supports,"The 1961 deed's recital confirmed: Barnett & Burdette -> Phoebus, January 27, 1947, MLP 7080/179, read in full.",2026-07-15 03:19:54 -0400,2026-07-15 03:19:54 -0400
171,18045,18044,supports,"The $8,060 Augusta share loan that carried the ~$12,000 purchase.",2026-07-15 03:19:54 -0400,2026-07-15 03:19:54 -0400
172,18046,17898,supports,The two halves of the 1962 paper shuffle: Platts lease to Levy May 17; Levy assigns to the Meylses June 25.,2026-07-15 03:19:55 -0400,2026-07-15 03:19:55 -0400
173,18046,17909,supports,"Eighteen days after the on-premises auction, the deed lands — the Meylses read as the auction buyers, ~$4,000 by the stamps.",2026-07-15 03:19:55 -0400,2026-07-15 03:19:55 -0400
174,18046,17899,related,"The bookends of the Meyls tenure: in at ~$4,000 in 1962, out at $16,000 in 1985 — with 2701 and 2703 sold to Strucko the same day.",2026-07-15 03:19:55 -0400,2026-07-15 03:19:55 -0400
175,18046,17956,related,"Concetta Meyls née Varsalona in both instruments: the 1962 leasehold next door, the 1973 joint tenancy on the family's corner pair — three parcels, one family.",2026-07-15 03:19:55 -0400,2026-07-15 03:19:55 -0400
176,18042,18043,related,"Fourth building-association purchase in this chain family: Waverly 1930 (2701), Title Permanent 1942 (2703), Augusta 1947, Yolanda 1961.",2026-07-15 03:19:55 -0400,2026-07-15 03:19:55 -0400
177,18050,18004,duplicates,,2026-07-15 03:56:31 -0400,2026-07-15 03:56:31 -0400
178,18047,18004,related,,2026-07-15 03:56:31 -0400,2026-07-15 03:56:31 -0400
179,18048,18004,related,,2026-07-15 03:56:31 -0400,2026-07-15 03:56:31 -0400
180,18049,18004,related,,2026-07-15 03:56:31 -0400,2026-07-15 03:56:31 -0400
181,18057,18051,duplicates,"Same instrument: JB 1404/446, Pratt->McColgan 1892, one deed covering the row",2026-07-15 05:06:34 -0400,2026-07-15 05:06:34 -0400
182,18060,18051,duplicates,"Same instrument: JB 1404/446, Pratt->McColgan 1892, one deed covering the row",2026-07-15 05:06:34 -0400,2026-07-15 05:06:34 -0400
183,18068,18051,duplicates,"Same instrument: JB 1404/446, Pratt->McColgan 1892, one deed covering the row",2026-07-15 05:06:34 -0400,2026-07-15 05:06:34 -0400
184,18071,18051,related,The 1892 Pratt-McColgan deed recites Pratt's earlier sale of the Coll tract (2601 block) and creates the Boone St reservation,2026-07-15 05:06:34 -0400,2026-07-15 05:06:34 -0400
185,18074,18071,related,2565 and 2601 both sit in Edward J. Coll's tract bought from Enoch Pratt,2026-07-15 05:06:34 -0400,2026-07-15 05:06:34 -0400
186,18052,18035,duplicates,"Same instrument: RO 1734/497, ten-lot Dail lease",2026-07-15 05:06:35 -0400,2026-07-15 05:06:35 -0400
187,18061,18035,duplicates,"Same instrument: RO 1734/497, ten-lot Dail lease",2026-07-15 05:06:35 -0400,2026-07-15 05:06:35 -0400
188,18069,18035,duplicates,"Same instrument: RO 1734/497, ten-lot Dail lease",2026-07-15 05:06:35 -0400,2026-07-15 05:06:35 -0400
189,18054,18036,duplicates,"Same instrument: RO 1764/209, four-lot reversion sale to Mutual Life",2026-07-15 05:06:35 -0400,2026-07-15 05:06:35 -0400
190,18062,18036,duplicates,"Same instrument: RO 1764/209, four-lot reversion sale to Mutual Life",2026-07-15 05:06:35 -0400,2026-07-15 05:06:35 -0400
191,18070,18036,duplicates,"Same instrument: RO 1764/209, four-lot reversion sale to Mutual Life",2026-07-15 05:06:35 -0400,2026-07-15 05:06:35 -0400
192,18053,18052,related,Same recording run: the builder's materials mortgage on the corner lot,2026-07-15 05:06:36 -0400,2026-07-15 05:06:36 -0400
193,18055,18054,related,Mutual Life exits the 2701 reversion it bought in 1898,2026-07-15 05:06:36 -0400,2026-07-15 05:06:36 -0400
194,18065,18062,related,Monumental (ex-Mutual) redeems the 2705 reversion bought in 1898,2026-07-15 05:06:36 -0400,2026-07-15 05:06:36 -0400
195,18063,17990,supports,"The 1923 assignment's recital confirms the Dec 2, 1921 Cohen->Neuman purchase (SCL 3805/141)",2026-07-15 05:06:36 -0400,2026-07-15 05:06:36 -0400
196,18064,18063,related,Same-run purchase-money financing,2026-07-15 05:06:36 -0400,2026-07-15 05:06:36 -0400
197,18066,18065,related,The 1947 straw deed's recital is the source for the 1945 fee merger,2026-07-15 05:06:37 -0400,2026-07-15 05:06:37 -0400
198,18067,17898,related,Deed (12:45 PM) and lease-back (12:46 PM) — two halves of one family transaction,2026-07-15 05:06:37 -0400,2026-07-15 05:06:37 -0400
199,18067,18066,related,Mark Levy exercised the powers reserved in the 1947 Bach plan,2026-07-15 05:06:37 -0400,2026-07-15 05:06:37 -0400
200,17900,18066,related,The 1987 gift to Alfred Levy restored the 1947 remainder plan,2026-07-15 05:06:37 -0400,2026-07-15 05:06:37 -0400
201,18072,18071,related,The 1940 utility right-of-way tracks the 1892 Boone Street reservation across the Coll tract,2026-07-15 05:06:37 -0400,2026-07-15 05:06:37 -0400
202,18073,18072,related,The 1946 mortgage takes 2601 'subject to' the 1940 Coll-City agreement,2026-07-15 05:06:37 -0400,2026-07-15 05:06:37 -0400
203,18073,18044,related,The Aurora mortgage financed the 82-day Barnett/Burdette position released at the 1947 sale,2026-07-15 05:06:38 -0400,2026-07-15 05:06:38 -0400
204,18076,18075,related,White's seller-financed 1991 purchase ended in the 1998 tax sale this deed forecloses,2026-07-15 05:06:38 -0400,2026-07-15 05:06:38 -0400
205,18076,18047,related,The church's 2001 tax-deed acquisition and its 2018 donation of the same lot to the City,2026-07-15 05:06:38 -0400,2026-07-15 05:06:38 -0400
206,18058,18059,supports,The 1915 straw pair's recital is the source for the 1908 Neuman->Stoler deed,2026-07-15 05:06:38 -0400,2026-07-15 05:06:38 -0400
207,18058,18056,related,"Neighboring straw round-trips, 1915/1916 — the block's tenancy-rearrangement habit",2026-07-15 05:06:38 -0400,2026-07-15 05:06:38 -0400
208,18080,18084,supports,,2026-07-15 05:51:46 -0400,2026-07-15 05:51:46 -0400
209,18084,18080,supports,,2026-07-15 05:51:46 -0400,2026-07-15 05:51:46 -0400
210,18078,18082,related,,2026-07-15 05:51:46 -0400,2026-07-15 05:51:46 -0400
211,18082,18078,related,,2026-07-15 05:51:47 -0400,2026-07-15 05:51:47 -0400
212,18085,18086,supports,,2026-07-15 06:03:17 -0400,2026-07-15 06:03:17 -0400
213,18085,17961,supports,,2026-07-15 06:03:18 -0400,2026-07-15 06:03:18 -0400
214,18087,18088,supports,,2026-07-15 06:03:18 -0400,2026-07-15 06:03:18 -0400
215,18093,18094,related,,2026-07-15 06:03:18 -0400,2026-07-15 06:03:18 -0400
216,18097,18108,related,,2026-07-15 06:38:26 -0400,2026-07-15 06:38:26 -0400
217,18097,18115,related,,2026-07-15 06:38:27 -0400,2026-07-15 06:38:27 -0400
218,18108,18097,related,,2026-07-15 06:38:27 -0400,2026-07-15 06:38:27 -0400
219,18107,18108,related,,2026-07-15 06:38:27 -0400,2026-07-15 06:38:27 -0400
220,18106,18111,supports,,2026-07-15 06:38:27 -0400,2026-07-15 06:38:27 -0400
221,18111,18112,supports,,2026-07-15 06:38:28 -0400,2026-07-15 06:38:28 -0400
222,18100,18101,related,,2026-07-15 06:38:28 -0400,2026-07-15 06:38:28 -0400
223,18103,18104,supports,,2026-07-15 06:38:28 -0400,2026-07-15 06:38:28 -0400
224,18104,18105,supports,,2026-07-15 06:38:28 -0400,2026-07-15 06:38:28 -0400
225,18116,18106,related,,2026-07-15 06:53:07 -0400,2026-07-15 06:53:07 -0400
226,18116,18111,related,,2026-07-15 06:53:07 -0400,2026-07-15 06:53:07 -0400
227,18123,6589,supports,Blum 1910 bio independently corroborates Frank's Eastern League Orioles executive role in the Lefty Russell signing feature.,2026-07-15 16:48:53 -0400,2026-07-15 16:48:53 -0400
228,18124,11153,supports,1941 dated photo corroborates the NR nomination's 'Charles Mall Hardware (1937)' occupancy at 3112.,2026-07-15 16:50:21 -0400,2026-07-15 16:50:21 -0400
229,18810,18740,supports,"The 1923 school-property auction (Baker's $75,400 purchase) is the direct cause of PS No. 51's relocation and the site's ca.1925 redevelopment as the Baker Block.",2026-07-16 15:37:50 -0400,2026-07-16 15:37:50 -0400
230,20981,11686,supports,The four-grade convergence reading elaborates the 1937 HOLC Residential Security Map grading (ballpark C4; adjacent D areas 30-35% Black).,2026-07-23 22:00:04 -0400,2026-07-23 22:00:04 -0400
231,20984,20981,supports,1940 FHLBB Waverly study corroborates the four-color convergence as a defended racial seam.,2026-07-24 11:20:00 -0400,2026-07-24 11:20:00 -0400
232,20985,20981,supports,1940 FHLBB Waverly study corroborates the four-color convergence as a defended racial seam.,2026-07-24 11:20:01 -0400,2026-07-24 11:20:01 -0400
233,20990,20981,supports,Corroborates the redlining/boundary-maintenance seam thesis.,2026-07-24 11:30:57 -0400,2026-07-24 11:30:57 -0400
234,20995,20981,supports,Corroborates the redlining/boundary-maintenance seam thesis.,2026-07-24 11:30:59 -0400,2026-07-24 11:30:59 -0400
235,20996,20981,supports,Corroborates the redlining/boundary-maintenance seam thesis.,2026-07-24 11:30:59 -0400,2026-07-24 11:30:59 -0400
236,21000,20981,supports,Corroborates the redlining/boundary-maintenance seam thesis.,2026-07-24 11:31:01 -0400,2026-07-24 11:31:01 -0400
